AL011970,               ALMA,     39,
19700719, 0600,  , TD, 18.8N,  84.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700719, 1200,  , TD, 19.4N,  85.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700719, 1800,  , TD, 20.3N,  85.6W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700720, 0000,  , TD, 21.3N,  85.9W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700720, 0600,  , TD, 22.3N,  86.2W,  30, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700720, 1200,  , TS, 23.3N,  86.4W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700720, 1800,  , TS, 24.1N,  86.6W,  45, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700721, 0000,  , TS, 25.0N,  86.6W,  50, 1003, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700721, 0600,  , TS, 25.8N,  86.7W,  55, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700721, 1200,  , TS, 26.6N,  86.6W,  55, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700721, 1800,  , TS, 27.5N,  86.3W,  55, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700722, 0000,  , TS, 28.3N,  86.0W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700722, 0600,  , TS, 29.2N,  85.5W,  40, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700722, 1200,  , TD, 29.9N,  85.1W,  30, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700722, 1800,  , TD, 31.7N,  84.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700723, 0000,  , TD, 33.4N,  85.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700723, 0600,  , TD, 35.3N,  86.0W,  25, 1015, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700723, 1200,  , TD, 37.2N,  86.9W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
AL031970,            UNNAMED,     22,
19700727, 1200,  , TD, 33.0N,  76.5W,  20, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700727, 1800,  , TD, 33.5N,  76.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700728, 0000,  , TD, 34.0N,  76.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
19700728, 0600,  , TD, 34.5N,  75.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
