entity_id,state,last_changed
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,179.579,2025-02-03T19:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,179.684,2025-02-03T20:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,179.802,2025-02-03T21:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,179.919,2025-02-03T22:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,180.043,2025-02-03T23:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,180.223,2025-02-04T00:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,180.394,2025-02-04T01:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,180.514,2025-02-04T02:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,180.644,2025-02-04T03:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,180.786,2025-02-04T04:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,180.981,2025-02-04T05:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,181.176,2025-02-04T06:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,181.296,2025-02-04T07:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,181.416,2025-02-04T08:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,181.534,2025-02-04T09:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,181.654,2025-02-04T10:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,181.773,2025-02-04T11:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,181.891,2025-02-04T12:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,182.009,2025-02-04T13:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,182.127,2025-02-04T14:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,182.245,2025-02-04T15:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,182.362,2025-02-04T16:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,182.571,2025-02-04T17:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,182.692,2025-02-04T18:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,182.812,2025-02-04T19:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,182.932,2025-02-04T20:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,183.097,2025-02-04T21:00:00.000Z
sensor.third_reality_inc_3rsp02028bz_summation_delivered_4,183.227,2025-02-04T22:00:00.000Z
